,name,type,extension,path,date
1149,264850,ohlcv,parquet,/ohlcv/264850.parquet,20251124
1150,900300,ohlcv,parquet,/ohlcv/900300.parquet,20251124
1151,205100,ohlcv,parquet,/ohlcv/205100.parquet,20251124
1152,377300,ohlcv,parquet,/ohlcv/377300.parquet,20251124
1153,417790,ohlcv,parquet,/ohlcv/417790.parquet,20251124
1154,011280,ohlcv,parquet,/ohlcv/011280.parquet,20251124
1155,102280,ohlcv,parquet,/ohlcv/102280.parquet,20251124
1156,220100,ohlcv,parquet,/ohlcv/220100.parquet,20251124
1157,246720,ohlcv,parquet,/ohlcv/246720.parquet,20251124
1158,121440,ohlcv,parquet,/ohlcv/121440.parquet,20251124
1159,373220,ohlcv,parquet,/ohlcv/373220.parquet,20251124
1160,348210,ohlcv,parquet,/ohlcv/348210.parquet,20251124
1161,298690,ohlcv,parquet,/ohlcv/298690.parquet,20251124
1162,138930,ohlcv,parquet,/ohlcv/138930.parquet,20251124
1163,067310,ohlcv,parquet,/ohlcv/067310.parquet,20251124
1164,012510,ohlcv,parquet,/ohlcv/012510.parquet,20251124
1165,383800,ohlcv,parquet,/ohlcv/383800.parquet,20251124
1166,015750,ohlcv,parquet,/ohlcv/015750.parquet,20251124
1167,900290,ohlcv,parquet,/ohlcv/900290.parquet,20251124
1168,448730,ohlcv,parquet,/ohlcv/448730.parquet,20251124
1169,122870,ohlcv,parquet,/ohlcv/122870.parquet,20251124
1170,098460,ohlcv,parquet,/ohlcv/098460.parquet,20251124
1171,002310,ohlcv,parquet,/ohlcv/002310.parquet,20251124
1172,021080,ohlcv,parquet,/ohlcv/021080.parquet,20251124
1173,004710,ohlcv,parquet,/ohlcv/004710.parquet,20251124
1174,012320,ohlcv,parquet,/ohlcv/012320.parquet,20251124
1175,001460,ohlcv,parquet,/ohlcv/001460.parquet,20251124
1176,463020,ohlcv,parquet,/ohlcv/463020.parquet,20251124
1177,141080,ohlcv,parquet,/ohlcv/141080.parquet,20251124
1178,041920,ohlcv,parquet,/ohlcv/041920.parquet,20251124
1179,187790,ohlcv,parquet,/ohlcv/187790.parquet,20251124
1180,201490,ohlcv,parquet,/ohlcv/201490.parquet,20251124
1181,254490,ohlcv,parquet,/ohlcv/254490.parquet,20251124
1182,065350,ohlcv,parquet,/ohlcv/065350.parquet,20251124
1183,023530,ohlcv,parquet,/ohlcv/023530.parquet,20251124
1184,204320,ohlcv,parquet,/ohlcv/204320.parquet,20251124
1185,163560,ohlcv,parquet,/ohlcv/163560.parquet,20251124
1186,100660,ohlcv,parquet,/ohlcv/100660.parquet,20251124
1187,287840,ohlcv,parquet,/ohlcv/287840.parquet,20251124
1188,090410,ohlcv,parquet,/ohlcv/090410.parquet,20251124
1189,038290,ohlcv,parquet,/ohlcv/038290.parquet,20251124
1190,298040,ohlcv,parquet,/ohlcv/298040.parquet,20251124
1191,043260,ohlcv,parquet,/ohlcv/043260.parquet,20251124
1192,051980,ohlcv,parquet,/ohlcv/051980.parquet,20251124
1193,445180,ohlcv,parquet,/ohlcv/445180.parquet,20251124
1194,277880,ohlcv,parquet,/ohlcv/277880.parquet,20251124
1195,001130,ohlcv,parquet,/ohlcv/001130.parquet,20251124
